text,label_true,label_pred,score,error_type
"thuyết trình nhiều như thế chưa có hiệu quả lắm , hi vọng cô sẽ cải thiện hình thức dạy và học .",0,1,5,False Positive
"đồ án cuối kỳ của em được giảng viên xem xét và góp ý chỉ sửa duy nhất một lỗi là hoàn thiện khi báo cáo trong năm học , nhưng đến cuối kỳ giảng viên lại cố gắng tìm ra lỗi khác để cho sinh viên rớt môn .",0,1,7,False Positive
thầy nên nói chậm lại và phát âm chuẩn hơn .,0,1,3,False Positive
chưa thu hút được sinh viên .,0,1,1,False Positive
"phòng học còn thiếu chất lượng , trời nóng nên bố trí thêm quạt cho dãy hai bên phòng .",0,1,3,False Positive
nên có thêm slide cho sinh viên .,0,1,1,False Positive
em nghĩ là làm bài tập nhiều tốt hơn là học lý thuyết nhiều .,0,1,2,False Positive
"em không học thầy này mà sao lại có khảo sát , em không rõ cho lắm .",0,1,1,False Positive
không thông báo rõ ràng lịch học .,0,1,3,False Positive
dạy khó hiểu và lên lớp muộn .,0,1,1,False Positive
giới thiệu mục tiêu của môn học nên cụ thể hơn và cách áp dụng môn học vào thực tiễn sau khi ra trường .,0,1,5,False Positive
phần mềm phục vụ cho phần thực hành không được cài đặt đầy đủ trên tất cả các máy tính .,0,1,2,False Positive
thầy không có up tài liệu cũng như bài giảng lên moodle .,0,1,4,False Positive
ít dạy bài tập .,0,1,2,False Positive
"quá trình giảng dạy không bám sát đồ án môn học , sinh viên phải tự tìm hiều qua nhiều mới báo cáo đồ án kịp tiến độ , không nên tổ chức thi giữa kỳ mà thay vào đó là các bài tập nhỏ cộng điểm cho sinh viên .",0,1,5,False Positive
có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,1,1,False Positive
giọng thầy rất khó nghe .,0,1,3,False Positive
bài tập khó và thường không song song với lý thuyết .,0,1,4,False Positive
cải thiện chất lượng máy chiếu .,0,1,1,False Positive
cần cung cấp tài liệu đầy đủ và chính xác hơn .,0,1,3,False Positive
phân bổ thời gian theo kiểu chưa học tới lý thuyết đã thực hành nên không biết gì để làm .,0,1,1,False Positive
"thiết nghĩ giảng viên đứng lớp lý thuyết phải có kỹ năng sư phạm nhất định khả năng truyền đạt , cách hướng dẫn sinh viên , tuy nhiên tại lớp này giảng viên không làm được điều đó .",0,1,8,False Positive
"dạy qua loa , không chú ý đến sinh viên .",0,1,3,False Positive
"cách dạy không phù hợp , khó hiểu gây chán nản , không có động lực học .",0,1,1,False Positive
thấy rất vui tính .,1,0,0,False Negative
mô học cung cấp kiến thức mơ hồ lắm .,0,1,3,False Positive
thầy không sử dụng máy chiếu nên thơi gian giảng dạy của môn học dài hơn bình thường dẫn đến việc cho ra trễ .,0,1,2,False Positive
giảng viên cần sửa lại hệ thống wecode vì còn quá nhiều lỗi và quá rườm rà .,0,1,3,False Positive
wifi các phòng thực hành thường rất yếu .,0,1,3,False Positive
"giảng viên nên giảng sâu vào chương trình học , tránh lan man , dài dòng .",0,1,2,False Positive
sau đó là việc giảng dạy quá tận tâm nên phần nào cũng nói đi nói lại từ 2 buổi trở lên nên làm mất nhiều thời gian khi lên lớp giảng dạy .,0,1,6,False Positive
kiến thức cao .,0,1,1,False Positive
cho nghỉ nhiều hoặc lên lớp không có ai dạy .,0,1,5,False Positive
"thời lượng thực hành quá ít , kiến thức mới mà hướng dẫn ít !",0,1,3,False Positive
chiếm 20 điểm bất công so với lớp của giáo viên dạy cùng môn .,0,1,3,False Positive
cần nâng cao công tác giảng dạy hơn nữa .,0,1,2,False Positive
"tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .",0,1,4,False Positive
thầy không post bài giảng lên website môn học .,0,1,5,False Positive
môn thực hành dạy trước lý thuyết làm sinh viên không theo kịp .,0,1,7,False Positive
nội dung thầy dạy bị rời rạc .,0,1,3,False Positive
cần tăng cường lớp thực hành .,0,1,2,False Positive
cần sửa đổi lịch học thực hành nếu có thể 1 tuần 1 lần cho sinh viên .,0,1,5,False Positive
"cần nhiều thời gian hơn nữa cho việc giảng dạy , vì kiến thức đáp ứng cho môn học chưa chuyên sâu .",0,1,2,False Positive
có nhiều thầy cô đến lớp không đúng giờ .,0,1,3,False Positive
lịch học bù cần ghi rõ ngày nào trên course .,0,1,2,False Positive
chưa làm rõ được ứng dụng vào thực tế của nội dung môn học .,0,1,3,False Positive
giảng viên vào lớp toàn đọc báo bấm slide thời lượng không được bảo đảm tầm 9h là đi họp hoài .,0,1,2,False Positive
máy chiếu hơi mờ .,0,1,1,False Positive
không sửa bài chi tiết vì nghĩ nó dễ so với học sinh .,0,1,2,False Positive
đây là môn học kỹ năng nên không cần thiết khi kiểm tra bằng hình thức thi tự luận mà nên đánh giá bằng đồ án .,0,1,5,False Positive
chỉ vì môn game mà em học hai lần mà không qua quả thật em rất không hài lòng vì những lý do vô cùng thiếu chuyên nghiệp như thế này .,0,1,1,False Positive
"thầy quá thụ động , ít ra là người thầy phải năng động chứ .",0,1,5,False Positive
chỉ gặp được thầy đúng một lần trong suốt học kỳ .,0,1,2,False Positive
cần trang bị phòng thực hành phù hợp với đặc thù môn học .,0,1,6,False Positive
"sinh viên hỏi những cái cơ bản về bài học thì thầy cũng không nắm , thầy kêu hỏi bạn khác rồi làm .",0,1,4,False Positive
nên cho thực hành nhiều hơn lý thuyết .,0,1,1,False Positive
"nội dung giảng dạy quá sơ sài , giảng viên không quan tâm tới lớp .",0,1,6,False Positive
giảng viên dạy có phần hơi nhanh .,0,1,3,False Positive
"các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết , cho nên không cần phải có thêm 1 giáo viên thực hành .",0,1,6,False Positive
chỉ có việc đọc slide và chấm điểm không giải thích gì thêm .,0,1,3,False Positive
cách truyền đạt của giảng viên chưa tốt .,0,1,2,False Positive
"rồi trong thời gian sinh viên báo cáo thì không lắng nghe và góp ý , mà hỏi những câu ví dụ như doubledot "" chỉ có vậy thôi hả ? còn gì nữa không ? dotdotdot "" .",0,1,4,False Positive
nên có thêm nhiều bài tập về nhà để củng cố kiến thức .,0,1,2,False Positive
nên đổi phòng học sang phòng chất lượng cao .,0,1,6,False Positive
"điểm thực hành nên chia ra nhiều mục doubledot chuyên cần , bài tập , kiểm tra , kiểm tra cuối kỳ .",0,1,8,False Positive
em chưa được thầy dạy thực hành môn này .,0,1,3,False Positive
"đến gần cuối kỳ vẫn khá nhiều sinh viên không biết nên làm gì với đồ án , code kiểu gì mới đúng ý thầy .",0,1,2,False Positive
"cô giảng lý thuyết quá nhanh làm em và nhiều bạn khác không nắm kịp , chủ yếu là về xem lại tài liệu mới hiểu được cơ bản , còn ở trên lớp thì chỉ sơ sơ .",0,1,1,False Positive
thầy dạy hơi nhanh nên mong thầy dạy chậm lại và giảng kỹ hơn .,0,1,6,False Positive
"cần cài các phần mềm học tập mới , chính xác ví dụ doubledot visual studio 2010 hoặc 2012 để sinh viên học tập tốt hơn .",0,1,6,False Positive
thầy sửa bài tập nhanh quá nên hơi khó hiểu .,0,1,2,False Positive
không hỗ trợ giảng bài khi giảng viên chính bận .,0,1,1,False Positive
"so vời những môn học khác , môn học của thầy chiếm hơn 50 thời gian làm bài tập trong một tuần của bọn em , làm cho tụi em cảm thấy không hoàn toàn thực tế em nghĩ nếu để thời gian làm bài tập đó để củng cố đồ án thì tốt hơn rất nhiều .",0,1,15,False Positive
cần cải tiến trang thiết thực hành .,0,1,1,False Positive
giảng viên nên nói rõ ràng cho sinh viên nghe được và hiểu .,0,1,2,False Positive
"thời gian lên lớp sinh viên chúng em không được học gì từ thầy , chỉ toàn là tự tìm hiểu .",0,1,4,False Positive
cung cấp các tài liệu ít .,0,1,2,False Positive
giọng nói của giảng viên khó nghe .,0,1,2,False Positive
thầy dạy có phần nhàm chán .,0,1,3,False Positive
hy vọng thầy sẽ cải tiến làm cho hoạt động sôi nổi hơn .,0,1,3,False Positive
cần hướng dẫn tụi em nhiều hơn .,0,1,1,False Positive
"giảng viên không thực sự nhiệt tình với công việc giảng dạy của mình , thường xuyên vắng tiết không thông báo .",0,1,7,False Positive
nên tăng bài tập và thời gian thực hành .,0,1,2,False Positive
"giảng viên thực hành quá khắt khe trong việc chấm và nộp bài , xin coi code của bọn em khi bọn em sai hay quên xóa file .",0,1,8,False Positive
nên phân chia lại tỷ lệ các hình thức kiểm tra trong điểm trung bình .,0,1,3,False Positive
như thế làm bài thật nhàm chán .,0,1,1,False Positive
đề nghị giảng viên sử dụng moodle để tăng chất lượng dạy học .,0,1,4,False Positive
đôi khi dạy hơi nhanh khiến học sinh hơi hoang mang .,0,1,2,False Positive
"giảng viên không đưa các tài liệu lên courses , làm khó khăn tron việc tìm kiếm tài liệu học , nói chuyện , chém gió ngoài lề quá nhiều , lan man .",0,1,2,False Positive
"lượng kiến thức thì nhiều mà thời gian dạy thì ít , mong phòng đào tạo có thể xem xét và chia ra dạy mỗi môn 1 - 3 ngôn ngữ , ví dụ như html , css làm 1 môn học , js và jquery làm 1 môn , php làm 1 môn .",0,1,8,False Positive
nên có nhiều bài tập cho sinh viên tham khảo .,0,1,2,False Positive
theo em thấy thầy nên dạy theo đúng chương trình .,0,1,2,False Positive
thêm giờ giải bài tập trên lớp .,0,1,3,False Positive
lớp học ồn .,0,1,1,False Positive
"giảng viên không cho bài tập , thiếu quan tâm tới sinh viên .",0,1,3,False Positive
giảng viên thiếu rất nhiều hoạt động để việc học bớt nhàm chán khi quá bám sát bài học .,0,1,4,False Positive
thực hành nhiều hơn .,0,1,1,False Positive
không có ổ cắm điện .,0,1,1,False Positive
thường xuyên vắng giờ lên lớp .,0,1,1,False Positive
thầy cứ mặc định học sinh thông minh .,0,1,2,False Positive
tỉ mỉ .,1,0,0,False Negative
môn học chỉ nên thuyết trình tìm hiểu về egov không làm đồ án .,0,1,2,False Positive
"phương pháp giảng dạy của thầy giúp sinh viên chủ động doubledot có các bài tập trên lớp , làm việc theo nhóm .",0,1,10,False Positive
tăng thời gian học vì anh văn là môn học khó .,0,1,2,False Positive
"cải thiện cho em chất lượng máy chiếu phòng wzjwz113 , học gần công trình đang thi công ồn lắm .",0,1,4,False Positive
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,1,9,False Positive
giáo trình nên thống nhất bản tiếng anh .,0,1,4,False Positive
"những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn , ví dụ như máy chiếu hơi bị mờ , các bạn ngồi ở phía sau không thấy , phòng học chỉ có 2 cái phạt , rất nóng nực vào mùa hè .",0,1,8,False Positive
em thông qua kênh này lần nữa để báo lại với phòng đào tạo là môn này wzjwz68 và wzjwz69 bị nhầm mã môn và điểm thành phần với nhau ạ .,0,1,1,False Positive
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,0,1,3,False Positive
môn học cần thiết và thiết thực với ngành học .,0,1,5,False Positive
"nhiều lúc nghe giảng , giảng viên đang nói vấn đề này , chỗ này lại tự nhiên chuyển sang vấn đề khác rồi quay lại vấn đề cũ , khiến sinh viên dễ rối và không hiểu bài .",0,1,6,False Positive
"em và các bạn thuộc các lớp phần mềm chất lượng cao hầu như không ai muốn đăng ký môn học game cơ bản do giảng viên này đảm nhận , nhưng kỳ vừa rồi nhà trường chỉ cung cấp cho chúng em duy nhất một sự lựa chọn là giảng viên này nên chúng em không còn cách nào khác .",0,1,5,False Positive
"project môn học thầy wzjwz180 yêu cầu làm ở mức độ tìm hiểu , nhưng lúc lên báo với thầy wzjwz181 thì thầy không chấp nhận .",0,1,7,False Positive
"nói chuyện lan man , không liên quan đến môn học quá nhiều .",0,1,2,False Positive
một số nội dung giảng viên giảng khá nhanh .,0,1,4,False Positive
ít bài tập về nhà .,0,1,1,False Positive
"giảng viên chưa nắm rõ chương trình , có khi không fix được lỗi để giảng cho sinh viên mà giao bài tập bắt sinh viên làm , trong khi giáo trình môn học gửi trên moodle không đáp ứng được lượng kiến thức cần thiết , còn quá sơ sài , không cụ thể , và đôi khi không có tài liệu luôn đặc biệt là về phần c .",0,1,15,False Positive
cô dạy slide lý thuyết hơi nhanh .,0,1,4,False Positive
cô dạy hơi khó hiểu .,0,1,2,False Positive
đôi khi quá luyên thuyên các vấn đề không liên quan đến môn học .,0,1,2,False Positive
"giảng viên nên thông báo giờ chấm đồ án , không nên để sinh viên phải ngồi đợi từ sáng đến chiều , thậm chí còn bắt sinh viên phải qua tận nhà để chấm đồ án .",0,1,3,False Positive
làm nhiều bài tập .,0,1,1,False Positive
"hệ thống wecode cần sửa lại tính năng submit kết quả cuối cùng , bao nhiêu sinh viên bị mất điểm vì submit trong đó có cả em colonsadcolon .",0,1,1,False Positive
"em mail bổ sung bài thực hành giáo viên không hồi đáp , mail xin sửa điểm giảng viên không reply đồng ý xem xét hay không đồng ý .",0,1,4,False Positive
thầy cũng ít quan tâm đến ý kiến của học sinh .,0,1,4,False Positive
thầy wzjwz186 không dạy lớp này .,0,1,2,False Positive
quá dễ thương nên học sinh khó lòng mà rớt được .,1,0,-1,False Negative
nên có nhiều bài tập vận dụng thực tế vào thực hành .,0,1,3,False Positive
"những bạn không chịu học và lơ là từ trước giờ vẫn qua hai môn của thầy một cách dễ dàng và thậm chí còn đạt được điểm cao , do đề cơ bản và còn được sử dụng tài liệu , laptop .",0,1,8,False Positive
"em mong môn học cập nhập thêm nhiều điều mới , có những ví dụ thực tiễn , sinh động , nội dung môn học nên súc tích và nhấn mạnh trọng tâm hơn .",0,1,9,False Positive
em không hiểu và thầy giải thích em cũng không hiểu thầy đang nói gì .,0,1,1,False Positive
"nếu có thể , thầy nên cho các bạn nộp bài trễ thêm cơ hội .",0,1,4,False Positive
"vẫn chưa được áp dụng nhiều kiến thức bên ngoài cho lắm , đa phần sử dụng các kiến thức trong sách giáo khoa là chính nên đâm ra buổi học trở nên nhàm chán hơn .",0,1,6,False Positive
chưa thấy được sự cần thiết thực sự của môn học đối với ngành nghề cũng như cuộc sống sau này .,0,1,5,False Positive
phần thực hành và lý thuyết phải đi cùng tiến độ .,0,1,2,False Positive
giờ học khá nhiều .,0,1,1,False Positive
"nội dung môn học có tính áp đặt người học , không thực tế , nên thay nội dung giảng dạy bằng việc dạy thêm những thứ có liên quan đến ngành sinh viên đang học mảng web thì cần biết php , html , cs , js , hay làm về embeded system thì cần c .",0,1,14,False Positive
thầy không quan tâm đến học sinh .,0,1,2,False Positive
"lớp thụ động , nhàm chán .",0,1,1,False Positive
giảng viên còn đến lớp trễ .,0,1,1,False Positive
"thầy nên cập nhật những kiến thức mới , thay vì vẫn sử dụng những nội dung kiến thức cũ .",0,1,3,False Positive
"chất lượng dạy còn khá nhiều chỗ chưa tốt , thời gian dạy còn chưa hiệu quả .",0,1,5,False Positive
mong rằng cô sẽ điều chỉnh để sinh viên có thể dễ dàng theo dõi bài giảng hơn .,0,1,5,False Positive
chưa có sự tương tác tốt với giáo viên lý thuyết .,0,1,1,False Positive
"dễ hiểu , đúng giờ !",1,0,0,False Negative
"nhiệt tình , nhưng đôi khi quá nhiệt tình , giảng bài một cách quá nhiều khiến em không thể nhớ hết được .",0,1,4,False Positive
thầy quá khắt khe .,0,1,3,False Positive
"trong khi đó sinh viên phải làm đồ án môn học , mọi vấn đề gặp phải nếu chờ 3 tuần để được gặp giảng viên giải đáp thì sinh viên không thể hoàn thành đúng tiến độ .",0,1,6,False Positive
"cách chấm điểm quá trình của thầy quá gắt , nhiều bạn bị kéo điểm nặng nề .",0,1,3,False Positive
nên nói sâu về những vấn đề khó .,0,1,1,False Positive
"dạy dễ hiểu , không bị rối .",0,1,3,False Positive
nên có đề cương ghi thông tin rõ ràng hơn về các bài thực hành .,0,1,2,False Positive
máy chiếu phòng wzjwz3 cần được sửa chữa hoặc thay mới để lớp có đủ điều kiện học .,0,1,4,False Positive
cần những hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy không hướng dẫn sinh viên mà để sinh viên tự làm 100 .,0,1,6,False Positive
thực hành sớm hơn so với lý thuyết dẫn đến nhiều khó khăn cho sinh viên .,0,1,4,False Positive
đề nghị thầy xem lại việc chấm chéo đồ án và báo cáo chéo đồ án .,0,1,1,False Positive
cách đánh giá bài tập lớn cuối kỳ cũng không được khách quan .,0,1,4,False Positive
"khi tụi em học môn đặc tả hình thức thầy wzjwz169 giảng dạy thì tụi em không hiểu thầy đang nói gì , không hiểu được môn này học để làm gì và nó có ứng dụng vào thực tiễn như thế nào .",0,1,9,False Positive
cần hướng dẫn sinh viên nhiều hơn .,0,1,1,False Positive
sử dụng quá nhiều tiếng anh để giảng bài trong khi sinh viên ngồi dưới chẳng hiểu là bao nhiêu .,0,1,3,False Positive
cô giảng bài rất là hay và không nhàm chán .,1,0,-1,False Negative
giáo viên chưa tạo được không khí vui vẻ trong lớp học .,0,1,3,False Positive
"thông báo học thực hành quá đột ngột , hôm nay thông báo mai học , sinh viên cũng có những công việc riêng chứ .",0,1,4,False Positive
"mỗi khi cần giảng giải bài tập , kiến thức , vấn đề gì mà sử dụng đến mạng wifi thì rất tệ làm tốn thời gian của thầy và sinh viên .",0,1,10,False Positive
đó là điều mà em mong muốn mỗi khi đến lớp .,1,0,0,False Negative
em đề nghị trường mình nên áp dung hình thức thực hành động .,0,1,2,False Positive
kiến thức chưa có trọng tâm .,0,1,1,False Positive
đề nghị phòng đào tạo sắp lịch thực hành cho môn này kỹ lưỡng hơn .,0,1,1,False Positive
"phòng học quá nóng , máy chiếu mờ .",0,1,2,False Positive
"rất mong nhà trường nâng cấp phòng máy máy mở lên rất lâu , màn hình bị nháy , con chuột bị đơ , bàn phím rít , nên cài visual cao hơn visual 2005 để sinh viên dễ thực hành .",0,1,4,False Positive
hình thức tạo nhóm không hiệu quả .,0,1,1,False Positive
máy chiếu phòng wzjwz11 chất lượng quá kém .,0,1,3,False Positive
chỉ học cho qua chứ không thu lượm được điều gì mới .,0,1,1,False Positive
"mặc dù về môn này điểm em không cao cũng như không hiểu nhiều về môn này nhưng cảm nhận giáo viên rất nhiệt tình với tiết học , quan tâm đến từng sinh viên nhưng do môn này quá khó hiểu nên kết quả vẫn không như mong đợi của giảng viên .",0,1,12,False Positive
phương pháp giảng dạy còn khó hiểu .,0,1,2,False Positive
em nghĩ giảng viên nên cho bài và sửa bài tập nhiều hơn .,0,1,2,False Positive
"có thể là về cách dạy , và chương trình học cũng không mấy phù hợp .",0,1,7,False Positive
"cho nhiều bài tập , cách hướng dẫn , tài liệu kỹ hơn .",0,1,4,False Positive
sinh viên được được thuyết trình nhưng thật sự chưa hiểu quả .,0,1,4,False Positive
nên giảm thời lượng môn học còn 7 tuần và tăng thời gian mỗi buổi học lên 4 tiết .,0,1,7,False Positive
về học tập doubledot bản thân em không đồng ý về điểm thuyết trình và bài báo cáo .,0,1,3,False Positive
chúng em mong cô cải thiện giọng nói dễ nghe hơn .,0,1,3,False Positive
"giảng viên hơi khó tính với sinh viên , giảng bài lan man gây khó hiểu cho sinh viên .",0,1,5,False Positive
"thầy giảng khó hiểu , không tập trung .",0,1,2,False Positive
từ đó cho thấy doubledot sinh viên lên lớp không được lợi ích gì vì giảng viên không chịu thướng dẫn chỉ ngồi lỳ một chỗ có khi giảng viên lại không chịu lên lớp vậy ở nhà tự học còn hơn .,0,1,9,False Positive
thầy nên dạy thực hành một cách kỹ lưỡng hơn cho sinh viên hiểu và thực hiện .,0,1,6,False Positive
không thấy đi thực hành buổi nào !,0,1,1,False Positive
thầy chưa mấy nhiệt tình !,0,1,4,False Positive
xin thầy cho thêm slide về môn học .,0,1,3,False Positive
"thiếu nhiệt tình trong giảng dạy , hay có thái độ không tốt nói những điều không hay về sinh viên , tạo áp lực trong giờ học .",0,1,1,False Positive
không đồng bộ kiến thức với giáo viên lý thuyết .,0,1,4,False Positive
"bài mẫu thực hành nên cụ thể hơn, bài mẫu hiện tại khó áp dụng vào đồ án , bởi nó chỉ lướt qua tổng quan các control .",0,1,3,False Positive
thầy thường sai bảo sinh viên làm việc riêng cho thầy trong giờ học .,0,1,5,False Positive
"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",0,1,7,False Positive
giảng viên hay không đúng giờ .,0,1,1,False Positive
cô truyền đạt còn khó hiểu .,0,1,1,False Positive
"phòng học quá nóng , xin nhà trường trang bị thêm quạt cho các phòng học dãy c .",0,1,2,False Positive
nên cung cấp cho sinh viên nhiều kiến thức thực tế qua các bài tập và thực hành .,0,1,5,False Positive
"thầy giảng rất nhanh , cho bài tập và dotdotdot ngồi chơi và gần như là tất cả các buổi .",0,1,5,False Positive
phát âm không chuẩn .,0,1,1,False Positive
"giảng viên hay cho nghỉ tiết , lịch học bù đôi khi trùng với giờ học các môn khác nên có chút ảnh hưởng đến việc học .",0,1,5,False Positive
cô dạy quá nhanh .,0,1,2,False Positive
"không nên "" mồi "" sinh viên làm bài tập bằng điểm .",0,1,2,False Positive
đề nghị giảng viên chuẩn bị tốt bài giảng .,0,1,1,False Positive
đây là một giảng viên có số lượng fan đông nhất trường .,1,0,0,False Negative
thầy nóng tính và tự tôn cao quá .,0,1,2,False Positive
"giáo viên nói hơi nhỏ , rất khó nghe , và hiểu được bài .",0,1,3,False Positive
các dụng cụ thực hành không được cung cấp đầy đủ .,0,1,1,False Positive
nội dung thực hành nên sát với lý thuyết hơn .,0,1,3,False Positive
không có bài ví dụ mẫu trong slide cũ ở nhiều chương khó cho việc ôn tập !,0,1,1,False Positive
dạy nói quá lan man làm chi sinh viên không tập trung .,0,1,4,False Positive
"đầu thì thông báo là sẽ lập nhóm khoảng 5 người để seminar lấy điểm giữa kỳ , sau đó không cho seminar nữa mà thông báo lập lờ là "" có thể "" sẽ cho nhóm 2 người để là website cộng điểm , mới đây thì lại thông báo là mỗi người làm 1 website để cộng điểm .",0,1,1,False Positive
cần tăng thêm nhiều tiết thực hành .,0,1,1,False Positive
thầy giảng dễ hiểu nhưng chưa có sự liên kết giữa các bài với nhau .,0,1,3,False Positive
lý thuyết hơi khó hiểu .,0,1,2,False Positive
"giảng viên kém nhiệt tình , nghỉ học một số buổi nhưng không thông báo trên daa .",0,1,4,False Positive
nghỉ học không thông báo trước .,0,1,4,False Positive
thầy nói nghe không rõ lắm .,0,1,1,False Positive
làm khó sinh viên .,0,1,1,False Positive
"cách giảng dạy của thầy khó hiểu , không có tài liệu cho sinh viên xem trước , thầy không cho sinh viên biết được cái nhìn tổng quan của môn học khiến sinh viên khó tiếp thu .",0,1,7,False Positive
"đặc biệt cần thông tin cụ thể về những dụng cụ nào nhà trường phải có trách nhiệm cấp cho sinh viên và giảng viên , ví dụ như có trường hợp bút lông viết bảng xài qua vài học kỳ đã khô hết mực , bút mờ không viết được nhưng giảng viên và sinh viên không biết đến đâu để đổi hay thay bút mới nên dẫn đến có giảng viên đành nói chay , không ghi chép được gì , hoặc phải tự đi mua bút viết bảng mới để viết .",0,1,17,False Positive
"chất lượng phòng lab kém , nhiều máy không sử dụng được hoặc phần mềm bị lỗi , không thực hành được .",0,1,1,False Positive
"chưa có đề cương , nội dung , tài liệu học tập cụ thể .",0,1,4,False Positive
khả năng truyền đạt của giảng viên chưa hiệu quả và có phần khó hiểu .,0,1,3,False Positive
không hướng dẫn cụ thể bài tập và cách giải .,0,1,3,False Positive
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",0,1,6,False Positive
"phòng học cần sạch sẽ hơn , bàn ghế rất bụi , máy chiếu tất nhiên nói nhìn được thì vẫn nhìn được nhưng như thế là vẫn mờ , cần sáng hơn , cho các bạn ngồi phía dưới thấy nữa .",0,1,2,False Positive
chưa có nhiều kinh nghiệm về kiến thức .,0,1,1,False Positive
thầy có vẻ hơi khó tính chút xíu nên học sinh hơi bị thụ động trong phát biểu và giải bài tập .,0,1,7,False Positive
em nghĩ nên giảm bớt chương trình đào tạo với môn này .,0,1,3,False Positive
"học anh văn nên học ở phòng lab , cách âm để khi học listening không bị ảnh hưởng bởi bên ngoài .",0,1,3,False Positive
thầy dạy hơi khó hiểu .,0,1,3,False Positive
"giảng dạy quá mập mờ , ít lắng nghe ý kiến của sinh viên .",0,1,5,False Positive
"giảng nhanh , tính nhẩm hơi chậm .",0,1,1,False Positive
chương trình hơi nhanh so với lý thuyết .,0,1,1,False Positive
"thầy không cung cấp đủ tài liệu trên website môn học , toàn bộ tài liệu sinh viên phải đi nhờ mấy bạn lớp khác để có tài liệu mà học .",0,1,8,False Positive
lớp đã nghỉ 4 tuần liên tiếp chưa tính một vài ngày nghỉ khác .,0,1,6,False Positive
